earliest_filing_year,ctry_code,cpc_green,count
1931,PT,Other,2.00000000000000000000
1934,PT,Other,2.00000000000000000000
1936,PT,Other,1.99999999999999999999
1939,PT,Other,2.00000000000000000000
1944,PT,Other,4.66666666666666666666
1945,PT,Other,5.00000000000000000000
1946,PT,Other,2.00000000000000000000
1947,PT,Other,2.00000000000000000000
1948,PT,Other,1.00000000000000000000
1949,PT,Other,3.00000000000000000000
1950,PT,Other,2.25000000000000000000
1951,PT,Other,2.00000000000000000000
1952,PT,Other,2.00000000000000000000
1953,PT,Other,1.00000000000000000000
1954,PT,Other,2.49999999999999999994
1955,PT,Other,2.50000000000000000006
1956,PT,Other,7.00000000000000000000
1957,PT,Other,5.99999999999999999999
1958,PT,Other,6.00000000000000000000
1959,PT,Other,6.00000000000000000000
1960,PT,Other,2.99999999999999999999
1961,PT,Other,6.49999999999999999996
1962,PT,Other,3.99999999999999999999
1963,PT,Other,7.50000000000000000001
1964,PT,Other,13.99999999999999999998
1965,PT,Other,6.49999999999999999999
1966,PT,Other,6.33333333333333333333
1967,PT,Other,7.00000000000000000000
1968,PT,Other,2.00000000000000000000
1969,PT,Other,9.49999999999999999999
1970,PT,Other,6.33333333333333333333
1971,PT,Other,18.25000000000000000000
1972,PT,Other,22.83333333333333333337
1973,PT,Other,18.16666666666666666665
1974,PT,Other,17.66666666666666666667
1975,PT,Other,19.50000000000000000000
1976,PT,Other,23.98333333333333333334
1977,PT,Other,21.00000000000000000000
1978,PT,Other,33.33333333333333333330
1979,PT,Other,12.35714285714285714284
1980,PT,Other,30.66666666666666666670
1981,PT,Other,21.66666666666666666669
1982,PT,Other,19.83333333333333333337
1983,PT,Other,12.70833333333333333333
1984,PT,Other,20.66666666666666666667
1985,PT,Other,19.20833333333333333333
1986,PT,Other,26.10000000000000000008
1987,PT,Other,26.61666666666666666665
1988,PT,Other,27.66666666666666666670
1989,PT,Other,29.62500000000000000002
1990,PT,Other,33.91666666666666666670
1991,PT,Other,23.54365079365079365091
1992,PT,Other,34.93333333333333333331
1993,PT,Other,51.34999999999999999996
1994,PT,Other,45.74999999999999999999
1995,PT,Other,38.17826086956521739149
1996,PT,Other,56.42500000000000000001
1997,PT,Other,64.39999999999999999988
1998,PT,Other,86.95085470085470085475
1999,PT,Other,98.83055555555555555562
2000,PT,Other,122.78210678210678210689
2001,PT,Other,131.32380952380952380984
2002,PT,Other,133.30000000000000000002
2003,PT,Other,145.45124458874458874466
2004,PT,Other,132.61412966878083157146
2005,PT,Other,181.61834510518721045031
2006,PT,Other,228.24903756374344609655
2007,PT,Other,284.39726474505886270631
2008,PT,Other,320.45128141111517070603
2009,PT,Other,295.72173786181139122377
2010,PT,Other,251.05675919940625823020
2011,PT,Other,291.83395032055527771570
2012,PT,Other,330.26620993385699268059
2013,PT,Other,356.20095461221221870328
2014,PT,Other,349.96682966791662443869
2015,PT,Other,484.97879312398763199756
2016,PT,Other,406.28700229509053038533
2017,PT,Other,413.54450757575757575760
2018,PT,Other,249.68333333333333333363
2019,PT,Other,7.19999999999999999999
9999,PT,Other,6.00000000000000000000
2001,PW,Other,0.99999999999999999999
1972,PY,Other,1.00000000000000000000
1977,PY,Other,2.00000000000000000000
1980,PY,Other,0.99999999999999999999
1981,PY,Other,2.00000000000000000000
1982,PY,Other,1.00000000000000000000
1984,PY,Other,1.00000000000000000000
1985,PY,Other,2.33333333333333333332
1987,PY,Other,2.00000000000000000000
1994,PY,Other,4.00000000000000000000
1995,PY,Other,0.50000000000000000001
1996,PY,Other,3.00000000000000000000
1997,PY,Other,1.00000000000000000000
2001,PY,Other,0.50000000000000000000
2002,PY,Other,3.24999999999999999999
2003,PY,Other,0.33333333333333333333
2004,PY,Other,1.00000000000000000000
2005,PY,Other,3.00000000000000000001
2006,PY,Other,1.00000000000000000000
2007,PY,Other,1.00000000000000000000
2008,PY,Other,4.33333333333333333335
2009,PY,Other,2.00000000000000000000
2010,PY,Other,0.84210526315789473680
2011,PY,Other,0.49999999999999999999
2012,PY,Other,0.83333333333333333333
2014,PY,Other,1.50000000000000000000
2016,PY,Other,0.50000000000000000000
2017,PY,Other,2.00000000000000000006
2018,PY,Other,15.50000000000000000001
1994,QA,Other,0.50000000000000000000
1995,QA,Other,0.70000000000000000000
1996,QA,Other,1.00000000000000000000
1997,QA,Other,1.50000000000000000001
1998,QA,Other,0.33333333333333333344
1999,QA,Other,0.33333333333333333332
2000,QA,Other,1.00000000000000000001
2001,QA,Other,1.00000000000000000000
2002,QA,Other,1.00000000000000000001
2003,QA,Other,4.58333333333333333331
2004,QA,Other,1.74999999999999999999
2005,QA,Other,2.53333333333333333334
2006,QA,Other,2.58333333333333333334
2007,QA,Other,3.19999999999999999997
2008,QA,Other,2.03611111111111111112
2009,QA,Other,2.73333333333333333336
2010,QA,Other,3.89814814814814814821
2011,QA,Other,10.76926406926406926417
2012,QA,Other,30.30915750915750915746
2013,QA,Other,15.73333333333333333326
